# ln(den) G1 G2 G3 G4 G5 G6
7.919431395686431507e-01 -1.770441992215769922e+00 -1.425171761760211986e+00 -2.505311999999999983e+00 8.963220000000000631e-01 -1.669008000000000713e+00 -1.458072000000000479e+00
-4.502190969733007586e-01 2.957112001686584613e+00 2.931135005335358645e+00 9.676200000000001467e-01 6.830004000000000630e-01 -1.840079999999999938e+00 -2.764008000000000020e+00
1.990838250197801917e+00 1.539553987083021269e+00 1.548919743456971476e+00 -1.540152000000000410e+00 1.142856000000000094e+00 -5.026740000000000652e-01 -2.413668000000000369e+00
-2.272815901699206442e+00 -3.975977171557242507e+00 1.514822662939323994e+00 7.528307999999999112e+00 -2.270999999999999464e+00 -2.428188000000000013e+00 7.368155999999999040e-01
-1.267022230752890666e+00 4.455949298241911549e+00 1.461984716412738639e+00 -1.633103999999999445e+00 -5.720531999999999506e+00 5.691419999999999924e+00 2.184096000000000259e+00
-1.247658695001250706e+00 1.248057309009653615e+00 -5.401603111757566911e-01 2.303399999999999614e-01 2.670071999999999779e+00 5.137655999999998890e+00 8.459375999999998896e+00
2.383048259347928965e+00 6.402638572431944564e-01 5.934654356473805237e-01 -1.667783999999999933e+00 -1.815876000000000712e+00 1.207764000000000060e+00 -3.338448000000000082e+00
8.485039335014022965e-01 -4.493461766917319355e-01 -1.214164157362101593e+00 -4.590648000000001616e+00 -4.586532000000000053e+00 1.786367999999999956e+00 6.442968000000000028e-01
9.735076842083355553e-01 4.027797641945710438e+00 1.006743870704149169e+00 -3.092351999999999990e+00 9.055512000000003336e-01 -1.674324000000000146e+00 4.268375999999999948e+00
1.580134708023066548e-01 4.844232465273545785e+00 2.269988638443624640e-01 5.385168000000000177e-01 2.636915999999999816e+00 3.658272000000000190e+00 5.550396000000000107e+00
-2.930598021386703778e+00 -2.337084675952924684e+00 1.424494963548291082e+00 -7.495823999999998932e+00 -3.858576000000000228e+00 -4.873056000000000054e+00 5.737319999999998643e+00
-1.137286045519684707e+00 -9.642266436964556098e-01 -3.261248522062874855e+00 -2.564328000000000607e+00 -5.181048000000001430e+00 -3.783084000000000113e+00 -2.544503999999999877e+00
1.531311650137548996e+00 -9.755461499554239913e-01 4.470312540182680427e-03 -1.636836000000000180e+00 -1.530312000000000339e+00 2.359788000000000441e+00 9.235620000000002161e-01
9.366379784049337631e-02 2.011535291099804112e+00 -1.720008023494731919e+00 -1.314672000000000063e+00 8.371739999999997517e-01 -2.745815999999999590e+00 -4.749971999999998751e+00
-3.030595250669783525e+00 4.134580326956680985e+00 6.306442568705119545e-01 -2.140247999999999706e+00 4.249583999999999584e+00 1.041421200000000091e+01 -6.813408000000000797e-01
1.370746822156521383e-01 -4.791042168865402573e+00 1.396506733763851038e+00 -3.065627999999999354e+00 -4.678355999999999959e+00 -2.078640000000000043e+00 1.284347999999999601e+00
1.614296851599633653e+00 5.234415138592200201e+00 2.173318646718312153e-01 1.013109599999999721e+00 2.931371999999999645e+00 1.433999999999999941e+00 9.530975999999998782e-01
-9.467945105726764510e+00 3.962563396990106845e+00 -2.087056741918846381e+00 -8.537831999999999866e+00 -1.023709200000000052e+01 -3.365915999999999908e+00 -7.987895999999999219e+00
4.480231165733845056e-01 -4.405234985390759306e+00 5.599275466529931439e-02 1.913747999999999783e+00 -6.523727999999998417e+00 -1.406292000000000098e+00 8.436468000000000300e-01
8.956658153900752817e-01 -1.122814069254324698e+00 1.112825753006906560e+00 9.435911999999999633e-01 -3.413411999999999558e-01 -1.842048000000000130e+00 4.383119999999999905e+00
6.016720366128579522e-01 3.985268002235960338e+00 -7.497345046292122062e-01 8.911019999999998387e-01 -5.915592000000000183e+00 6.598620000000000596e-01 -2.835899999999999643e+00
-8.242528299258761182e-01 1.744280376559896872e+00 -5.360679525013155589e-01 -4.784159999999999968e+00 5.216231999999999758e+00 3.196979999999999933e+00 1.321535999999999600e+00
-1.030516290984902605e+00 2.039602935610839829e+00 -2.205636795997557797e+00 -1.365588000000000024e+00 -7.754123999999997796e-01 5.643203999999998999e+00 4.607892000000000543e+00
-1.544188467522077113e-01 -2.188889483583821960e+00 -6.797937911471702011e-02 -3.330120000000000857e+00 -2.570940000000000225e+00 -4.218647999999999954e+00 -2.934180000000000454e+00
-1.149403213908312127e+00 -4.310768228941710412e+00 7.915192331556506478e-01 5.956019999999998538e-01 -4.886195999999999984e+00 -8.970227999999997870e-01 -4.241580000000000350e-01
2.304451272778919702e+00 -2.284287822428969328e+00 1.034720777432227345e+00 2.911716000000000637e+00 1.388100000000000167e-01 -1.555884000000000433e-01 -1.220796000000000436e+00
-1.386511561068977327e+00 -2.198351790773546810e+00 1.396145197433788621e+00 7.545155999999999530e-01 8.446307999999998373e+00 3.412559999999999594e+00 2.897483999999999948e+00
-9.089903251448516741e-01 1.210539141305259747e+00 2.036900143122959417e+00 3.599219999999999642e-01 -5.943000000000000504e+00 4.788012000000000157e+00 -3.269447999999999799e-01
-2.102846332185017708e+00 -3.220717080209404948e+00 6.213368257620350832e-01 1.606163999999999703e+00 -2.480639999999999290e+00 -5.089463999999999544e+00 4.661903999999999826e+00
2.626530902197675044e+00 -1.735139689125380968e+00 5.440078490967513725e-01 1.217411999999999717e+00 -2.175179999999999669e+00 1.874495999999999940e-01 -2.107655999999999974e+00
1.269770873433000213e+00 1.116516351759021086e+00 -1.263635305964151412e+00 -2.528975999999999669e+00 -8.514131999999998701e-01 3.354035999999998907e+00 3.948563999999999297e+00
-4.869584071127442293e+00 -2.735003175979813683e+00 2.038036678171725846e+00 1.253279999999999950e+00 7.269311999999999330e+00 6.462216000000000626e+00 -7.686827999999999328e+00
2.695877623238016607e-01 -2.426922429299656514e+00 1.936071926885384320e+00 7.012415999999999094e-01 1.605660000000000087e+00 2.749739999999999407e-01 -4.594848000000000710e+00
-6.656769369362062205e-01 6.068516857978649703e-01 1.806371832306671532e+00 1.825247999999999537e+00 -3.844572000000000322e+00 -3.302927999999999198e+00 1.236251999999999907e+00
1.679434151122922048e+00 1.680349026017267655e-01 -1.510974434063502292e+00 8.087459999999999649e-01 3.464148000000000227e+00 1.877460000000000129e+00 1.425755999999999801e+00
5.080242805341861345e-01 1.570632906366337345e+00 6.212702968065616504e-01 1.435944000000000109e+00 -3.924360000000000959e+00 -4.394315999999999889e+00 4.958123999999999754e+00
-2.319344251779066335e-01 4.744079832884342540e-01 -1.039904868548285233e+00 2.327748000000000150e+00 -1.028183999999999987e+00 -6.828287999999999691e+00 -1.308540000000000050e-02
2.395527414094253960e+00 -2.467949013925425650e+00 -6.077200477834656667e-01 -4.942007999999999956e-01 -3.628248000000000029e-01 3.171120000000000161e+00 -1.387068000000000190e+00
-2.064220761255572523e+00 1.792824156485950615e+00 2.091810410843429668e+00 -1.259147999999999712e+00 -6.753311999999999315e+00 5.977427999999999741e+00 -2.738519999999999843e+00
2.285447611983383531e+00 -1.148976223193690416e+00 7.905556539455501630e-01 1.912932000000000798e-01 3.868524000000000740e+00 -1.547496000000000205e+00 7.317252000000000756e-01
-3.605393133322385424e-01 -2.702413176636733194e+00 -1.352034956554894141e+00 -4.189715999999998886e+00 4.991027999999998244e+00 -1.619591999999999477e+00 -3.759815999999998937e+00
-1.611079823914669307e+00 -8.545203094991837389e+00 4.493021534796067251e-01 -5.727456000000000103e+00 -7.660139999999999727e-01 1.186100399999999944e+00 -2.883995999999999782e+00
7.884563289449199042e-01 -1.573561007775987619e+00 -6.066398337826768294e-01 -6.054647999999999364e+00 -9.254075999999999969e-01 -1.754831999999999503e+00 3.746267999999999265e+00
1.305057385492945254e+00 -1.095485333201286160e+00 -3.044258361110637745e-01 -3.592715999999999354e+00 -1.437815999999999761e+00 -5.935187999999999020e-01 -9.193500000000000005e-01
1.410981095504101557e+00 -7.380664880783708304e-01 -7.009877162701573239e-01 -1.939679999999999405e+00 -2.272163999999999184e+00 7.105775999999996984e-01 5.585399999999998144e+00
1.231531500418939551e+00 -1.130232254845905393e+00 1.737697890384017341e-01 -2.792100000000000026e+00 2.303135999999999850e+00 -2.193923999999999985e+00 8.440391999999999686e-03
-1.565718661932224975e-01 1.719294505883462332e+00 -2.239933987350157363e+00 1.662779999999999703e+00 2.455799999999999539e+00 -2.266776000000000124e+00 -3.676079999999999792e+00
-1.838047128509981087e+00 2.057804768989322852e+00 -2.727054398085408060e+00 4.914912000000000170e+00 1.761827999999999950e+00 2.359608000000000150e+00 6.016200000000001546e-01
1.956954849256433482e+00 1.376543001699028768e+00 4.738772196608366238e-01 -1.462512000000000256e+00 -4.385435999999999446e+00 -2.596620000000000594e+00 -5.766156000000001169e-01
-2.762922221007499957e+00 -5.465073949566971123e+00 7.591120974867583415e-01 6.671616000000000213e+00 7.480295999999999168e+00 -1.425024000000000068e+00 2.905823999999999963e+00
-7.914355328775600995e+00 -5.940355669329296262e+00 7.424137462414179267e-02 1.255547999999999575e+01 1.621979999999999755e+00 8.445035999999998211e+00 -1.445759999999999934e+00
1.015854325883985693e-01 4.014747322041069211e+00 2.834799155913962365e-01 2.182355999999999963e+00 4.601915999999999229e+00 4.322772000000000503e+00 3.908771999999999913e+00
1.407385290554099111e+00 1.683093066726526921e+00 7.523792324004040522e-01 -2.004887999999999781e+00 -4.766603999999998939e-03 -1.629719999999999391e+00 -7.513283999999998963e-01
1.943445785881920074e+00 1.065291299262957736e+00 9.534515822150270159e-01 3.617399999999999505e-01 -1.680239999999999512e+00 2.535815999999999626e+00 3.829715999999999454e+00
1.185563345187982121e+00 8.434486470627213794e-01 -1.325526831224840052e+00 -7.390499999999999847e-01 -2.856419999999999515e-01 4.355507999999999491e+00 -3.922404000000000224e+00
-1.884884738936407400e+00 1.249791363529880517e+00 -2.496036942353200838e-01 -3.109560000000000990e+00 -4.815839999999999677e+00 6.501336000000000226e+00 -6.867023999999999795e+00
1.003777462953290733e+00 4.536422922616507036e-01 -1.543924224991427008e-01 -1.011717600000000328e+00 1.509084000000000092e+00 -9.084515999999998037e-01 7.106027999999998457e+00
-2.104961475870568588e+00 -1.249775999748589328e+00 3.506370000666582776e+00 -2.661503999999999870e+00 9.724068000000001266e-01 3.641820000000000057e+00 -2.899679999999999591e+00
-8.837881649225637348e-01 1.804302459314414353e+00 -1.216259958859859713e+00 4.325939999999999230e+00 3.533423999999999232e+00 -1.263120000000000215e-02 -7.321644000000000929e+00
1.452058988015655916e-01 6.637901072564332594e+00 -1.593649836844602152e+00 2.051771999999999707e+00 -2.264411999999999647e+00 -7.337076000000000153e-01 -9.941532000000000702e-01
2.037232483106359571e-01 9.559868161947051579e-01 -1.119786639787755111e-01 8.865467999999998572e-01 5.884619999999999962e+00 -5.961683999999999095e+00 -1.499927999999999706e+00
1.911032448941025752e+00 1.366701386891190584e+00 -4.688216470022136817e-01 3.743807999999999137e+00 3.704831999999999681e+00 -8.170511999999999775e-01 1.093713600000000064e+00
1.844860093311773586e+00 -2.404106358899540830e+00 -9.099070781356577431e-01 1.768331999999999571e+00 5.199131999999999643e-01 1.909907999999999717e+00 -3.822647999999999158e+00
1.700321690897308891e+00 -1.945470470548164021e+00 -1.923237024811894902e-01 1.783871999999999680e+00 2.347319999999998963e+00 -4.880231999999998571e+00 1.302947999999999773e+00
-3.254903163938800970e-01 2.523865543148177792e+00 -2.062915328450053210e+00 -1.124643600000000188e+00 5.230787999999998661e+00 -3.511187999999998977e-01 2.099963999999999942e+00
2.565316559347819325e+00 -2.827065891409408671e+00 -1.049001046022127875e-01 -2.006220000000000336e+00 1.834392000000000245e+00 -1.388940000000000285e+00 -3.576900000000000635e-01
-2.496706016081349511e-01 3.672785127950386030e+00 -1.071437971368955466e+00 -3.892308000000000767e+00 -3.205392000000000685e+00 -5.681015999999999622e+00 -2.145288000000000306e+00
5.555493986024561126e-01 -3.281869635382281380e+00 -2.324234826676026877e+00 1.267391999999999852e+00 -7.322411999999999255e-01 7.706231999999998417e-01 -1.231451999999999991e+00
7.868141608452475788e-01 -3.464817095421210968e-01 1.658157929848106393e-01 -4.329900000000000304e+00 -2.187000000000000277e+00 -2.296283999999999992e+00 -5.575091999999999715e+00
-1.353969875430546699e+00 -5.515257614145225862e-01 -5.497345310312932831e+00 2.000243999999999911e+00 -1.635372000000000270e+00 3.737604000000000148e+00 9.128555999999998782e-01
1.995393113811615660e+00 -1.766207387842216203e+00 -1.051125927509476199e+00 -3.585720000000000018e-01 -1.813919999999999533e+00 -3.589836000000000027e+00 -1.396656000000000120e+00
-1.465519369825112550e+00 -2.391225982308164966e+00 5.905207320172831675e-01 2.658827999999999747e+00 -7.276775999999998135e+00 5.961251999999999995e+00 3.195827999999998781e+00
2.334363580238752345e+00 -2.185318540746460592e+00 -8.512634730756990509e-01 5.928900000000000281e-01 1.249751999999999974e+00 4.977959999999999052e-01 -3.131363999999999148e+00
3.047122417563017827e+00 -1.943013447733710486e-01 9.931035711913878405e-02 -1.637364000000000264e+00 -1.494959999999999845e+00 -2.165136000000000283e-01 9.482819999999999583e-01
2.550460505156335156e+00 -7.527170237472265990e-01 -2.647235406194311524e-01 -1.824467999999999979e+00 -2.203319999999999723e+00 -2.001708000000000265e+00 -2.137883999999999673e+00
5.216147753566403589e-01 -3.152038487392498478e+00 9.406290354619050165e-01 -4.641768000000000782e+00 -5.097420000000001394e+00 -8.818260000000002208e-01 -1.123936800000000069e+00
-1.421631574837132761e-01 -4.524827408452614108e+00 1.248765291743820782e+00 7.919519999999997673e-01 1.672019999999999174e+00 -2.114927999999999031e+00 1.170004799999999623e+00
-6.076016632205963330e-02 -1.339166369776249033e+00 -5.957193228692005960e-01 4.196544000000000274e+00 9.114012000000000224e-01 -6.940392000000001005e+00 -3.034607999999999528e+00
1.046304547378929417e+00 3.606294922379072787e+00 1.116635650019025539e+00 -1.857815999999999912e-01 -6.929400000000000004e-01 3.691812000000000094e+00 4.106663999999999426e+00
-1.174452412640850651e+00 3.410742127979719651e+00 -1.157654481019360082e+00 -3.133799999999999031e+00 -4.202867999999998716e+00 -7.565231999999998180e+00 -1.674647999999999415e-01
-9.392429900058989478e-01 -3.282377014474442967e-01 2.677677977042076107e-01 -6.676403999999999783e+00 2.331863999999999937e+00 4.200756000000000157e+00 5.771495999999999071e+00
2.286890682228232219e+00 -1.025226721741040903e+00 1.164054918961405560e+00 2.980415999999999954e+00 7.928315999999999697e-01 -7.226628000000000496e-01 -1.513488000000000611e+00
4.727621600663952095e-01 1.845804998189791046e+00 1.226390596975335673e-01 4.570620000000000238e-02 -7.204259999999999664e+00 -2.013000000000000345e+00 2.877240000000000464e+00
2.193553224407392754e+00 -1.739390202625720860e+00 8.953510729931201118e-01 -6.262979999999997993e-01 -9.568163999999999003e-01 -2.866643999999999970e+00 -2.737356000000000122e+00
-1.578509691571721163e+00 6.010112440243278620e+00 -1.199037291173155717e+00 -1.002189600000000125e+00 -8.114988000000000312e+00 -2.888496000000000397e-01 -1.522596000000000505e+00
2.837346125449941581e-01 -4.406158211585800011e+00 -8.063299560938719246e-01 -3.293256000000001293e+00 -1.276404000000000094e+00 1.482180000000000053e+00 5.621292000000000399e+00
-1.696805203688714236e+00 -7.510312400849883385e-01 3.912410004223390469e+00 -3.666096000000000021e+00 -5.754251999999999256e+00 2.126448000000000227e-01 -3.520967999999999876e+00
-8.046528051644115109e-01 2.877786979212194396e+00 1.163180066550691949e+00 -1.121680800000000033e+00 5.903867999999999228e+00 6.572075999999998253e+00 2.464535999999999810e-02
1.907646087520328715e+00 -2.585026888442942816e+00 5.908345233769198707e-02 -2.808023999999999187e+00 -5.666507999999998990e-01 9.702095999999996723e-01 4.179263999999998092e+00
1.745294964612560618e+00 3.141376585912242003e+00 1.247173068605554880e+00 -2.588255999999999890e+00 9.337139999999999329e-01 -2.405483999999999956e+00 1.242696000000000023e+00
1.994359263202589938e+00 6.504381664571369237e-01 -3.327937613150461771e-01 -1.095841199999999960e+00 -5.233571999999999669e+00 5.816832000000000669e-01 9.998568000000003231e-01
1.172242388088086784e+00 2.303461471824778339e+00 -2.350848429724176347e-01 3.103259999999999685e+00 4.199460000000000193e+00 5.657676000000002592e-01 -4.200204000000000271e+00
1.326506060510247886e+00 -6.509302574255885210e-01 4.236454819632897162e-01 2.554811999999999639e+00 -1.768127999999999478e+00 5.479403999999999719e+00 2.394467999999999819e+00
3.624769076458556616e-01 -1.352719478000502296e+00 -1.636478014002354264e+00 -1.199487599999999432e+00 -4.587779999999998637e+00 -2.180543999999999372e+00 1.091449199999999786e+00
2.696968742904406913e+00 1.658576147137616474e-01 -1.000618401685312797e+00 -1.262231999999999799e-01 1.874136000000000024e+00 5.123640000000000416e-01 1.484088000000000074e+00
1.015314493124942041e+00 -1.113864482997680566e-01 1.572665323843130125e-01 -1.622039999999999704e+00 5.593163999999998914e+00 -4.437695999999999863e+00 9.610260000000000469e-01
-3.108045911172381714e+00 4.305026135173386947e+00 -7.072164894215282605e-01 9.148236000000000701e+00 -6.311364000000002861e+00 -9.946728000000002456e-01 -2.576532000000000266e+00
-2.281835433936861557e-01 8.043732919175492491e-01 6.505515795471339402e-01 -4.348524000000000278e+00 1.932971999999999912e+00 3.722243999999999886e+00 4.091687999999999548e+00
-7.584998900006912903e-01 2.548949655090621658e+00 3.497752298916011471e-01 2.410799999999999166e+00 4.759847999999999857e-01 9.664536000000001348e-01 9.102755999999999403e+00
-5.781262666993389754e-01 3.786325701138221422e+00 -1.372797782303784464e+00 -3.240240000000000897e+00 -6.892176000000000968e+00 -2.098236000000000434e+00 -8.855880000000000418e-01
-1.668092508153491638e+00 -2.743097644138592806e+00 -3.685739867790551738e-01 8.633484000000001046e+00 4.793004000000001597e+00 -1.601388000000000256e-01 -3.594636000000000386e+00
-9.699049708092355448e-01 1.877555811326171664e+00 1.183265636008408173e+00 3.151583999999999719e+00 -4.809755999999999254e+00 -3.213479999999999670e+00 3.694728000000000012e+00
-1.305614949805823932e-01 -7.755293197487047596e-01 -8.868010182673503883e-02 5.408699999999999619e+00 -5.547251999999999406e+00 3.549335999999999380e+00 2.992235999999999674e+00
1.242647464621592146e+00 1.504814917560732157e+00 -1.077070610483528368e+00 -3.473411999999999722e+00 4.286471999999999838e+00 -1.980107999999999535e+00 1.761204000000000214e+00
2.248803865858081341e+00 3.786348106570335936e+00 6.083203865659685405e-01 4.857239999999999891e-01 -1.618667999999999996e+00 -1.241891999999999996e+00 1.853531999999999513e+00
-1.675926511564962418e+00 1.389010750144932027e+00 -1.742904248102481679e+00 6.908436000000001798e+00 -1.932215999999999934e+00 5.787971999999999895e+00 -2.281824000000000296e+00
4.109807901125383522e-01 1.284238788387576324e+00 -6.636844159621305139e-02 -1.911804000000000059e+00 -2.932200000000000362e-01 7.672235999999999834e+00 -2.226551999999999865e+00
-2.879775206921529329e-01 -3.189457122433477121e+00 9.231238724229099413e-01 7.992395999999998502e+00 -9.989879999999999871e-01 1.369884000000000324e+00 -1.507211999999999996e+00
1.624933148390290238e+00 3.160890258403234454e-02 -1.389384387082436723e+00 -2.551979999999999915e+00 3.675348000000000503e+00 1.667039999999999633e+00 -5.296559999999999047e-01
2.077421418550928767e+00 4.955484708026586943e-02 8.541125853617503871e-01 -4.198847999999999470e-01 -4.316159999999999997e+00 -2.100131999999999444e+00 4.350419999999999288e-01
-4.780071863787819786e-01 -1.676180498399657992e+00 -1.046222870389639681e+00 -1.695515999999999579e+00 -4.165355999999999170e+00 -2.075735999999999581e+00 -3.176171999999999329e+00
4.315619316487026014e-01 -3.058727042717387379e-01 -3.633851045755006060e-01 -2.896955999999999420e+00 -2.317032000000000203e+00 -7.138895999999999020e+00 -1.691315999999999820e+00
2.259608240739127805e+00 -2.559766243994174850e+00 -3.865096327963595813e-01 9.441839999999999122e-01 1.678199999999999692e+00 -1.724795999999999552e+00 3.220823999999999465e+00
8.299900977281587933e-01 -4.111820153673940936e+00 6.360681967695412942e-01 -5.304083999999999577e+00 2.453219999999999956e+00 -1.615044000000000590e+00 -1.511124000000000134e+00
2.058712639049381288e+00 4.455350114289634789e+00 -7.430824328488737640e-01 7.008576000000001915e-01 -1.620827999999999935e+00 9.958560000000000745e-01 1.141568399999999928e+00
-4.328482362903553593e+00 3.383064181352024580e+00 9.915794591297600880e-01 -2.284764000000000017e+00 5.648388000000000631e+00 9.619368000000003249e+00 5.832384000000001123e+00
2.343900922676716014e+00 -3.731736331224520864e+00 7.133930125836841496e-01 8.387111999999998790e-01 -1.206371999999999556e+00 -6.479867999999999739e-01 -1.508664000000000005e+00
3.055906985100974360e+00 -1.112990613419203578e+00 3.990877839909931502e-01 1.595867999999999620e+00 -4.543955999999998996e-01 6.776831999999999301e-01 1.996859999999999746e-01
-5.448064144403972353e-01 -3.183191448742916485e+00 6.628275110015292571e-01 -7.715831999999998025e+00 2.369628000000000068e+00 3.343115999999999755e+00 1.485947999999999825e+00
5.379220274381325551e-01 -3.372332189930259405e-01 -8.024162614739784871e-01 2.403179999999999872e+00 3.442859999999999587e+00 -4.027895999999999255e+00 -1.364735999999999727e+00
6.619307909329802397e-01 2.196552580343128724e+00 1.783576494661597955e+00 3.200099999999999945e+00 4.581587999999999994e+00 -1.227695999999999898e+00 -4.482924000000000353e-01
1.413271581840430446e+00 2.955060481208526824e+00 3.072309656557039581e-01 -2.095715999999999468e+00 1.809407999999999461e+00 -4.819643999999998485e+00 2.191751999999999700e+00
-2.667836382496768799e-01 -1.185234024571986788e+00 4.849377274851238706e-01 -2.760959999999999859e+00 -4.438871999999999929e+00 7.268651999999997670e+00 1.436315999999999704e+00
-2.697190777894036273e+00 6.277464000091814711e+00 3.308745000390469482e+00 1.556771999999999823e+00 -3.662723999999999869e+00 8.774891999999998582e-01 4.844459999999998767e-01
1.725861364470478110e+00 3.704147234990069482e+00 -1.507717523842353025e+00 -1.273763999999999896e+00 4.886975999999998432e-01 1.530983999999999678e+00 -9.802416000000000462e-01
1.193393890062183216e+00 -3.557055656674668498e+00 4.895119215975422544e-01 -5.781059999999999199e+00 1.098229200000000017e+00 4.700376000000000033e-03 -1.127092800000000006e+00
1.118346939375783888e+00 1.143156054626928597e+00 -3.434127107050163885e-01 -2.744976000000000305e+00 8.234387999999999153e-01 -1.141082399999999941e+00 -6.363875999999999422e+00
2.475365165153687874e-01 -5.548844296449392921e+00 -8.883136712682397906e-01 -6.152712000000002401e-01 5.200452000000000297e+00 5.521692000000001377e-01 1.888320000000000221e+00
