112,1
114,1
115,1
116,2
118,2
122,1
123,1
124,2
125,1
126,2
128,4
129,1
130,2
131,5
132,6
133,2
134,6
135,2
136,5
137,4
138,9
139,6
140,5
141,9
142,12
143,11
144,14
145,13
146,16
147,15
148,23
149,23
150,27
151,30
152,26
153,37
154,43
155,41
156,53
157,26
158,52
159,42
160,59
161,64
162,74
163,72
164,87
165,69
166,104
167,118
168,102
169,128
170,143
171,135
172,168
173,151
174,167
175,208
176,213
177,242
178,285
179,266
180,254
181,275
182,319
183,322
184,333
185,379
186,420
187,424
188,464
189,442
190,529
191,498
192,556
193,614
194,659
195,747
196,731
197,742
198,779
199,872
200,875
201,929
202,1005
203,967
204,1084
205,1097
206,1169
207,1125
208,1297
209,1286
210,1450
211,1481
212,1493
213,1619
214,1656
215,1679
216,1797
217,1788
218,1874
219,1998
220,1976
221,2174
222,2318
223,2310
224,2393
225,2466
226,2601
227,2601
228,2726
229,2870
230,2877
231,2997
232,3080
233,3209
234,3258
235,3348
236,3677
237,3633
238,3708
239,3902
240,4060
241,4086
242,4249
243,4345
244,4485
245,4726
246,4779
247,4802
248,4941
249,5123
250,5322
251,5380
252,5548
253,5689
254,5738
255,6173
256,6141
257,6319
258,6339
259,6542
260,6725
261,6944
262,7080
263,7057
264,7545
265,7547
266,7804
267,7861
268,8068
269,8352
270,8460
271,8606
272,8807
273,9002
274,9198
275,9294
276,9343
277,9679
278,9883
279,10005
280,10311
281,10466
282,10856
283,10768
284,11133
285,11263
286,11517
287,11848
288,11925
289,12150
290,12320
291,12648
292,12837
293,13212
294,13374
295,13398
296,13770
297,13719
298,14202
299,14206
300,14611
301,14741
302,14967
303,15353
304,15563
305,15652
306,16176
307,16288
308,16375
309,17010
310,17149
311,17461
312,17522
313,17987
314,17974
315,18530
316,18624
317,18931
318,18648
319,19661
320,19732
321,20251
322,20321
323,20773
324,21125
325,21134
326,21453
327,21773
328,22048
329,22577
330,22490
331,22783
332,23440
333,23635
334,23772
335,24219
336,24420
337,24636
338,25047
339,25448
340,25792
341,26169
342,26090
343,26422
344,26899
345,27383
346,27495
347,28213
348,28536
349,28681
350,28921
351,29093
352,29964
353,29875
354,30238
355,30866
356,30955
357,31304
358,31807
359,32129
360,32524
361,32976
362,33274
363,33489
364,33768
365,34052
366,34741
367,35020
368,35549
369,35564
370,36011
371,36668
372,37074
373,37017
374,37664
375,38407
376,38437
377,38443
378,39448
379,39591
380,39769
381,40156
382,40777
383,40881
384,41354
385,41684
386,42133
387,42533
388,42858
389,42999
390,43788
391,43916
392,44382
393,44708
394,44937
395,45552
396,45458
397,45754
