1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	8/3	2	4/3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	8/3	10/3	4/3	2/3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	46/15	10/3	8/3	2/3	4/15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	46/15	196/45	8/3	14/9	4/15	4/45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	352/105	196/45	176/45	14/9	32/45	4/45	8/315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	352/105	1636/315	176/45	38/15	32/45	4/15	8/315	2/315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1126/315	1636/315	2872/567	38/15	172/135	4/15	16/189	2/315	4/2835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1126/315	1034/175	2872/567	10054/2835	172/135	352/675	16/189	22/945	4/2835	4/14175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	13016/3465	1034/175	87028/14175	10054/2835	1088/567	352/675	848/4725	22/945	16/2835	4/14175	8/155925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	13016/3465	339638/51975	87028/14175	194324/42525	1088/567	35776/42525	848/4725	754/14175	16/2835	52/42525	8/155925	4/467775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	176138/45045	339638/51975	159152/22275	194324/42525	15928/6075	35776/42525	13136/42525	754/14175	28/2025	52/42525	16/66825	4/467775	8/6081075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	176138/45045	33549128/4729725	159152/22275	523004/93555	15928/6075	51704/42525	13136/42525	5794/59535	28/2025	136/42525	16/66825	4/93555	8/6081075	8/42567525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	182144/45045	33549128/4729725	573997376/70945875	523004/93555	4725376/1403325	51704/42525	300448/637875	5794/59535	23936/893025	136/42525	4672/7016625	4/93555	128/18243225	8/42567525	16/638512875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	182144/45045	35939768/4729725	573997376/70945875	1405083116/212837625	4725376/1403325	2296904/1403325	300448/637875	697442/4465125	23936/893025	5848/893025	4672/7016625	884/7016625	128/18243225	136/127702575	16/638512875	2/638512875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3186538/765765	35939768/4729725	637420496/70945875	1405083116/212837625	2645957768/638512875	2296904/1403325	1552016/2338875	697442/4465125	67244/1488375	5848/893025	70544/49116375	884/7016625	664/30405375	136/127702575	32/212837625	2/638512875	4/10854718875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3186538/765765	176768818/21928725	637420496/70945875	441151804/58046625	2645957768/638512875	12051779648/5746615875	1552016/2338875	33879698/147349125	67244/1488375	154964/13395375	70544/49116375	11476/40186125	664/30405375	608/174139875	32/212837625	38/1915538625	4/10854718875	4/97692469875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	62075752/14549535	176768818/21928725	439242476/44669625	441151804/58046625	70150336/14189175	12051779648/5746615875	5081911696/5746615875	33879698/147349125	2044688/29469825	154964/13395375	391064/147349125	11476/40186125	59648/1149323175	608/174139875	992/1915538625	38/1915538625	16/6512831325	4/97692469875	8/1856156927625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	62075752/14549535	1556002766/183324141	439242476/44669625	9507038726/1107624375	70150336/14189175	2127552608/820945125	5081911696/5746615875	9147496958/28733079375	2044688/29469825	55652/3007125	391064/147349125	173968/315748125	59648/1149323175	49888/5746615875	992/1915538625	14/195463125	16/6512831325	4/13956067125	8/1856156927625	4/9280784638125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	63461422/14549535	1556002766/183324141	465541807768/43747806375	9507038726/1107624375	85279422524/14801889375	2127552608/820945125	1772803664/1567258875	9147496958/28733079375	5469089156/54854060625	55652/3007125	390464/88409475	173968/315748125	817888/7836294375	49888/5746615875	14752/10970812125	14/195463125	412/44405668125	4/13956067125	16/506224616625	4/9280784638125	8/194896477400625	0	0	0	0	0	0	0	0	0	0	0	0	0
1	63461422/14549535	89578221716/10082827755	465541807768/43747806375	68940498493862/7218388051875	85279422524/14801889375	1521732069332/488462349375	1772803664/1567258875	36306509194/86199238125	5469089156/54854060625	16635941216/603394666875	390464/88409475	23157136/24312605625	817888/7836294375	223744/12314176875	14752/10970812125	116978/603394666875	412/44405668125	184/162820783125	16/506224616625	92/27842353914375	8/194896477400625	8/2143861251406875	0	0	0	0	0	0	0	0	0	0	0	0
